filename,canidate,has_python2_module,has_python3_module,trove_python3
python-wordpress-library_1.1-1.json,,✓,,
py-postgresql_1.1.0-2.json,,,✓,
pyrrd_0.1.0-2.json,,✓,,
python-bloomfilter_1.0.3-2.json,,,,
python-django-djapian_2.3.1-3.json,,,,
pep8_1.5.7-2.json,,,✓,✓
python-igraph_0.6.5-1.json,,✓,,
python-lua_0.3-1.json,,✓,,
pyxnat_0.9.0~dev0-1.1.json,,✓,,
python-pyasn1-modules_0.0.5-0.1.json,,✓,✓,✓
pyfits_1:3.3-2.json,,✓,✓,
python-pyramid-tm_0.5-1.json,✓,✓,,✓
python-werkzeug_0.9.6+dfsg-1.json,,✓,✓,✓
python-pmw_1.3.2-6.json,,,,
python-pdftools_0.37-3.json,,,,
python-pyo_0.7-2.1.json,,✓,,
python-messaging_0.5.11+debian-1.json,✓,,,✓
python-couchdbkit_0.6.5-1.json,,✓,,
python-oauth_1.0.1-4.json,,✓,✓,
python-gasp_0.3.4-1.json,,,,
python-unipath_0.2.1+dfsg-1.json,,✓,,
pyro_1:3.14-1.2.json,,,,
pyicu_1.8-1.json,,✓,✓,✓
python-concurrent.futures_2.2.0-1.json,✓,✓,,✓
python-traitsui_4.4.0-1.3.json,,✓,,
polib_1.0.6-1.json,,✓,✓,✓
pyquery_1.2.4-1.json,✓,✓,,✓
python-fs_0.4.0-2.json,,✓,,
python-scipy_0.14.1-1.json,,✓,✓,✓
pygpgme_0.3-1.json,,✓,✓,✓
pygpgme_0.2-3.json,,✓,,
python-augeas_0.4.1-2.json,,✓,,
python-tempita_0.5.2-1.json,,✓,✓,✓
pycalendar_2.0~svn13177-2.json,,✓,,
python-soaplib_0.8.1-2.json,,,,
python-easygui_0.96-3.json,,✓,✓,
pyth_0.6.0-1.json,,✓,,
python-django-extdirect_0.10-1.json,,✓,,
python-cups_1.9.63-1.json,,✓,,
pyjunitxml_0.6-1.1.json,,✓,✓,
python-geohash_0.8.3-1.json,,,,
python-gnuplot_1.8-5.json,,✓,,
python-passlib_1.6.1-1.3.json,,✓,✓,✓
pytables_3.1.1-3.json,,✓,✓,✓
python-scientific_2.9.4-3.json,,✓,,
python-jsonschema_2.3.0-1.json,,✓,✓,✓
python-pygraphviz_1.3~rc2-1.json,,✓,,
python-fuse_2:0.2.1-10.json,,✓,,
python-repoze.what_1.0.9-5.json,,✓,,
pygresql_1:4.0-3.1.json,,✓,,
python-django-tagging_1:0.3.1-4.json,,✓,,
python-setupdocs_1.0.5-3.json,,,,
pycairo_1.8.8-1.json,,,,
pyscript_0.6.1-4.json,,✓,,
python-secretstorage_2.1.1-1.json,,✓,✓,✓
python-socketpool_0.5.3-1.json,✓,✓,,✓
pyodbc_3.0.6-2.json,✓,✓,,✓
python-xlib_0.14+20091101-1.json,,,,
python-axiom_0.7.1-2.json,,✓,,
python-sptest_0.2.1-2.json,,,,
pivy_0.5.0~v609hg-3.json,,✓,,
python-unicodecsv_0.9.4-1.json,,✓,,
pyxmpp_1.1.2-1.json,,✓,,
pycountry_1.8+ds1-0.1.json,,✓,✓,
pymtp_0.0.6-1.json,,✓,,
pykickstart_1.83-2.json,,✓,,
python-virtualenv_1.11.6+ds-1.json,,✓,✓,✓
python-repoze.who_1.0.18-4.json,,✓,,
python-coverage-test-runner_1.8-1.json,,✓,,
python-biopython_1.63-1.json,,✓,,
python-biopython_1.64+dfsg-5.json,,✓,✓,
python-webunit_1:1.3.10-2.json,,✓,,
pydoctor_0.5+bzr616-1.json,,✓,,
python-repoze.lru_0.6-5.json,,✓,✓,✓
pyew_2.0-3.json,,,,
python-djvulibre_0.3.9-3.json,,✓,✓,✓
python-traits_4.4.0-1.json,,✓,,
pyspread_0.4-2.json,,,,
python-cobe_2.1.0-2.json,,✓,,
python-aalib_0.3-1.json,,✓,✓,✓
pastedeploy_1.5.2-1.json,,✓,✓,✓
pyparted_3.10.0-1.1.json,,✓,✓,
python-urllib3_1.9.1-3.json,,✓,✓,✓
python-repoze.tm2_2.0-1.json,,✓,✓,✓
python-jenkinsapi_0.2.16-2.json,,✓,,
pyclamd_0.3.9-2.json,,✓,✓,
python-twitter_1.1+git20131227-2.json,,✓,,
python-coverage_3.7.1+dfsg.1-1.json,,✓,✓,✓
python-visual_1:5.12-1.6.json,,✓,,
pygtk_2.24.0-4.json,,✓,,
pywebkitgtk_1.1.8-3.json,,✓,,
python-daemon_1.5.5-1.json,,,,
python-django-shorturls_1.0.1-3.json,,✓,,
python-biom-format_2.1+dfsg-1.json,,✓,,
python-django-websocket_0.3.0-3.json,,,,
python-soappy_0.12.22-1.json,,✓,,
pyudev_0.16.1-2.json,,✓,✓,✓
pycparser_2.10+dfsg-3.json,,✓,✓,✓
python-pyrss2gen_1.1-1.json,,✓,✓,
python-dns_2.3.6-3.json,,✓,,
python-simplemediawiki_1.0.2-2.json,,✓,,
python-ucltip_0.7.1-1.json,,✓,,
python-nmap_0.3.4-2.json,,✓,✓,
pudb_2015.1-1.json,,✓,✓,✓
python-cogent_1.5.3-2.json,,✓,,
python-apptools_4.2.1-1.json,,✓,,
pyke_1.1.1-5.json,,✓,,
python-apt_0.9.3.11.json,,✓,✓,
python-netaddr_0.7.12-2.json,,✓,✓,
python-ethtool_0.11-2.json,,✓,,
python-keyczar_0.71d-09062013-2.json,,✓,,
pexpect_3.2-1.json,,✓,✓,✓
pymongo_2.7.2-1.json,,✓,✓,✓
python-leveldb_0~svn68-2.json,,✓,✓,✓
python-enthoughtbase_3.1.0-2.json,,,,
python-txosc_0.2.0-2.json,,✓,,
python-pgmagick_0.5.8-1.json,✓,✓,,✓
python-authkit_0.4.3-2.json,,✓,,
pyspf_2.0.11-1.json,,✓,✓,✓
python-poster_0.8.1-0.1.json,,✓,,
py3cairo_1.10.0+dfsg-4.json,,,✓,
python-docutils_0.12+dfsg-1.json,,✓,✓,✓
python-netfilter_0.5.9-1.json,,✓,,
pymssql_1.0.2+dfsg-1.json,,,,
pygccxml_1.0.0-4.json,,,,
python-scrapy_0.24.2-1.json,,✓,,
python-mhash_1.4-1.json,,,,
pyflakes_0.8.1-1.json,✓,,,✓
pyzmq_14.4.0-1.json,,✓,✓,✓
python-prctl_1.1.1-1.1.json,,✓,,
python-fixtures_0.3.14-1.1.json,,✓,✓,✓
python-ttystatus_0.23-1.json,,✓,,
python-glpk_0.4.52-1.1.json,,✓,,
pyinotify_0.9.5-1.json,,✓,✓,✓
python-cloudfiles_1.7.11-3.json,,✓,,
python-pypm_0.0.7-8.json,,✓,,
pymvpa2_2.3.1-1.json,,✓,,
pymvpa2_2.3.1-2.json,,✓,,
python-ase_3.8.1.3440-0.1.json,,✓,,
python-markdown_2.5.1-2.json,,✓,✓,✓
pysendfile_2.0.0-6.json,✓,✓,,✓
pyglet_1.1.4.dfsg-2.json,,,,
pydhcplib_0.6.2-3.json,,✓,,
pysatellites_2.1-1.json,,✓,,
pymvpa_0.4.8-3.json,,✓,,
pygoocanvas_0.14.1-1.json,,,,
python-exif_1.4.2-3.json,,✓,,
pyatspi_2.14.0+dfsg-1.json,,✓,✓,
python-jsonrpc2_0.3.2-4.json,,✓,,
python-espeak_0.5-1.json,,✓,✓,
python-enum_0.4.4-2.json,,✓,,
python-gearman_2.0.2-2.json,,,,
pyip_0.7-2.json,,✓,,
python-amqplib_1.0.2-1.json,,✓,✓,✓
python-facebook_0.svn20100209-3.json,,,,
pyhoca-gui_0.5.0.3-1.json,,,,
