id,lat,lng
-99,55.827155,37.650698
-100,55.829707,37.650903
-101,55.827981,37.643750
-102,55.828850,37.644946
-103,55.829355,37.648612
-104,55.818600,37.639160
-105,55.830736,37.651466
-106,55.824265,37.639665
-107,55.824993,37.640875
-108,55.824476,37.640238
-109,55.823380,37.642002
-110,55.824213,37.639748
-111,55.823637,37.640480
-112,55.822826,37.641571
-113,55.822378,37.642022
-114,55.821062,37.642024
-115,55.819742,37.639633
-116,55.821566,37.642975
-117,55.821782,37.642762
-118,55.826330,37.647252
-119,55.823311,37.644130
-120,55.822631,37.645968
-121,55.825819,37.642459
-122,55.827164,37.644804
-123,55.827591,37.644038
-124,55.827416,37.644132
-125,55.825299,37.651611
-126,55.826397,37.652708
-127,55.830232,37.651305
-128,55.827903,37.643639
-129,55.829063,37.644251
-130,55.830171,37.646223
-131,55.818064,37.638937
-132,55.831245,37.651671
-133,55.831269,37.652060
-134,55.823513,37.638195
-135,55.824329,37.639560
-136,55.825868,37.639481
-137,55.824162,37.639655
-138,55.823494,37.640465
-139,55.822773,37.641461
-140,55.822304,37.642046
-141,55.821068,37.642621
-142,55.820323,37.641248
-143,55.819281,37.639311
-144,55.821656,37.643148
-145,55.826997,37.647922
-146,55.820061,37.640611
-147,55.822701,37.646088
-148,55.822506,37.645933
-149,55.826253,37.641782
-150,55.827177,37.644762
-151,55.827696,37.643779
-152,55.827320,37.643863
-153,55.825249,37.651726
-154,55.825433,37.651774
-155,55.825229,37.651520
-156,55.826331,37.652882
-157,55.826306,37.652605
-158,55.826459,37.652779
-159,55.830504,37.651582
-160,55.828835,37.649750
-161,55.827801,37.643644
-162,55.827665,37.643164
-163,55.827892,37.643252
-164,55.829639,37.642377
-165,55.830370,37.645633
-166,55.817524,37.638748
-167,55.831354,37.651782
-168,55.832653,37.653516
-169,55.831202,37.651918
-170,55.822792,37.636787
-171,55.823470,37.638263
-172,55.823577,37.638091
-173,55.825192,37.638151
-174,55.826152,37.639904
-175,55.825658,37.639076
-176,55.824092,37.639513
-177,55.823358,37.640450
-178,55.822493,37.641516
-179,55.822256,37.642037
-180,55.821109,37.646767
-181,55.820248,37.641296
-182,55.819498,37.640384
-183,55.820260,37.641548
-184,55.819250,37.639289
-185,55.821651,37.643705
-186,55.819554,37.640164
-187,55.822727,37.646233
-188,55.822424,37.646002
-189,55.822516,37.645629
-190,55.826643,37.641165
-191,55.827501,37.643831
-192,55.824685,37.651165
-193,55.824912,37.652391
-194,55.825557,37.652055
-195,55.827410,37.654021
-196,55.825865,37.652384
-197,55.825791,37.654441
-198,55.827476,37.653911
-199,55.830705,37.652250
-200,55.831235,37.652381
-201,55.827844,37.642737
-202,55.827627,37.643552
-203,55.827156,37.642149
-204,55.827995,37.642930
-205,55.831061,37.642131
-206,55.830427,37.645700
-207,55.831586,37.642015
-208,55.815449,37.638311
-209,55.831261,37.651760
-210,55.831630,37.652068
-211,55.834012,37.654952
-212,55.831207,37.651812
-213,55.822483,37.636341
-214,55.822759,37.636827
-215,55.823549,37.638037
-216,55.823630,37.638007
-217,55.825396,37.638556
-218,55.824400,37.636553
-219,55.826687,37.640956
-220,55.825913,37.638652
-221,55.825514,37.639304
-222,55.822493,37.640318
-223,55.823423,37.639236
-224,55.822493,37.641396
-225,55.822232,37.642182
-226,55.822206,37.642019
-227,55.821113,37.647205
-228,55.821246,37.646932
-229,55.820170,37.641345
-230,55.820230,37.641388
-231,55.819275,37.640193
-232,55.820203,37.641512
-233,55.819959,37.642484
-234,55.819249,37.639112
-235,55.819238,37.639457
-236,55.818593,37.638911
-237,55.821642,37.644741
-238,55.822002,37.644094
-239,55.818976,37.639718
